City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,yerbogachen,61.2767,108.0108,-9.57,86,100,2.86,RU,1681348346
291,axim,4.8699,-2.2405,26.46,88,14,2.45,GH,1681348346
292,mongu,-15.2484,23.1274,19.2,86,98,2.26,ZM,1681348346
293,rondonopolis,-16.4708,-54.6356,23.83,82,29,0.89,BR,1681348346
294,qaqortoq,60.7167,-46.0333,-0.44,82,100,2.0,GL,1681348347
295,nome,64.5011,-165.4064,-14.96,56,0,2.06,US,1681348087
296,panguipulli,-39.6333,-72.3333,12.4,73,100,2.15,CL,1681348347
297,changji,44.0167,87.3167,6.44,81,0,3.0,CN,1681348347
298,airai,-8.9266,125.4092,22.25,68,21,0.42,TL,1681348348
299,muros,42.7762,-9.0603,7.27,92,100,4.34,ES,1681348348
300,bac lieu,9.285,105.7244,29.28,67,40,3.05,VN,1681348348
301,port blair,11.6667,92.75,28.25,70,6,1.52,IN,1681348349
302,kousseri,12.0769,15.0306,27.64,13,99,5.34,CM,1681348349
303,lima,-12.0432,-77.0282,25.5,76,75,5.66,PE,1681347857
304,irbil,36.1926,44.0106,10.26,81,4,1.94,IQ,1681348199
305,erdenet,49.0333,104.0833,-6.21,82,100,7.45,MN,1681348350
306,aden,12.7794,45.0367,27.63,83,88,9.54,YE,1681348350
307,russell,32.3502,-85.1999,20.78,50,100,2.47,US,1681348350
308,egvekinot,66.3167,-179.1667,-15.87,74,100,1.4,RU,1681348351
309,saldanha,-33.0117,17.9442,15.59,78,100,1.92,ZA,1681348351
310,isangel,-19.55,169.2667,29.73,66,56,2.92,VU,1681348351
311,jiayuguan,39.8167,98.3,7.97,35,91,4.91,CN,1681348351
312,sarakhs,36.5449,61.1577,25.96,14,26,5.76,IR,1681348351
313,santa rosa,14.3122,121.1114,27.28,82,100,2.72,PH,1681348058
314,husavik,66.0449,-17.3389,-0.18,86,41,2.82,IS,1681348352
315,emerald,-23.5333,148.1667,30.75,30,0,2.83,AU,1681348353
316,carutapera,-1.195,-46.02,24.33,94,85,2.21,BR,1681348353
317,mercedes,-34.6515,-59.4307,14.32,60,100,5.26,AR,1681348353
318,teacapan,22.55,-105.75,23.45,62,56,2.32,MX,1681348353
319,torbay,47.6666,-52.7314,1.27,93,100,0.45,CA,1681348354
320,laguna,38.421,-121.4238,19.31,39,0,4.12,US,1681348095
321,ahipara,-35.1667,173.1667,21.1,69,53,3.15,NZ,1681348354
322,kavieng,-2.5744,150.7967,28.07,73,98,3.55,PG,1681348354
323,san policarpo,12.1791,125.5072,27.9,78,100,3.8,PH,1681348355
324,carndonagh,55.25,-7.2667,5.99,88,100,11.19,IE,1681348355
325,cabedelo,-6.9811,-34.8339,26.37,84,69,4.82,BR,1681348355
326,auki,-8.7676,160.7034,27.73,80,51,2.75,SB,1681348356
327,edgewater,28.9889,-80.9023,22.27,81,100,7.07,US,1681348159
328,gravdal,68.1214,13.5031,4.27,81,18,6.71,NO,1681348356
329,collie,-33.3667,116.15,17.63,72,98,5.66,AU,1681348356
330,omsukchan,62.5333,155.8,-10.48,63,14,0.87,RU,1681348357
331,lethem,3.3803,-59.7968,27.83,59,88,4.23,GY,1681348357
332,asilah,35.465,-6.0348,16.98,88,100,0.97,MA,1681348357
333,jinchang,38.4953,102.1739,8.55,49,100,4.22,CN,1681348357
334,colares,38.7992,-9.4469,13.52,58,100,9.39,PT,1681348358
335,pampa,35.5362,-100.9599,26.53,35,0,9.26,US,1681348358
336,tiznit,29.5833,-9.5,20.12,28,0,1.11,MA,1681348358
337,sandnessjoen,66.0217,12.6316,7.29,84,12,6.23,NO,1681348358
338,ilulissat,69.2167,-51.1,-5.99,100,100,0.0,GL,1681348358
339,rafraf,37.1904,10.1837,16.17,51,6,3.21,TN,1681348359
340,red bluff,40.1785,-122.2358,18.25,20,0,7.2,US,1681348276
341,murmashi,68.8154,32.8115,-10.77,100,0,2.0,RU,1681348359
342,ancud,-41.8697,-73.8203,10.61,80,100,2.17,CL,1681348359
343,pucara,-15.9803,-71.4606,4.36,43,56,1.7,PE,1681348360
344,tambovka,50.0969,128.0489,0.81,52,100,7.4,RU,1681348360
345,biltine,14.5333,20.9167,25.72,14,100,7.42,TD,1681348360
346,tulun,54.5611,100.5792,-2.69,47,44,3.21,RU,1681348360
347,luderitz,-26.6481,15.1594,14.45,68,57,4.34,NA,1681348361
348,wanning,18.8003,110.3967,24.77,88,100,3.11,CN,1681348361
349,tual,-5.6667,132.75,28.6,75,79,3.54,ID,1681348361
350,aykhal,66.0,111.5,-15.1,76,9,4.1,RU,1681348361
351,sakakah,29.9697,40.2064,12.53,54,0,6.74,SA,1681348152
352,gardez,33.5974,69.2259,10.55,46,1,1.08,AF,1681348362
353,sadovoye,47.7764,44.5089,13.5,45,100,7.11,RU,1681348362
354,norilsk,69.3535,88.2027,-24.4,93,100,1.77,RU,1681348362
355,saint-joseph,-21.3667,55.6167,23.21,83,20,0.54,RE,1681348363
356,sikonge,-5.6333,32.7667,17.39,95,87,0.77,TZ,1681348363
357,margate,51.3813,1.3862,7.17,83,100,1.34,GB,1681348363
358,inhambane,-23.865,35.3833,21.27,72,0,1.93,MZ,1681348363
359,solnechnyy,50.7214,136.6319,-3.0,89,99,6.02,RU,1681348363
360,san giorgio ionico,40.4566,17.3787,13.55,83,0,1.74,IT,1681348364
361,mount gambier,-37.8333,140.7667,19.14,72,28,2.35,AU,1681348364
362,lorengau,-2.0226,147.2712,28.3,79,94,4.28,PG,1681348364
363,altamira,-3.2033,-52.2064,22.63,96,27,1.12,BR,1681348364
